0  '  f(p1)+f(p2) --> W^+ (for total Xsect)'
1  '  f(p1)+f(p2) --> W^+(-->nu(p3)+e^+(p4))'
5  '  f(p1)+f(p2) --> W^- (for total Xsect)'
6  '  f(p1)+f(p2) --> W^-(-->e^-(p3)+nu~(p4))'
1000 'nul'
191 '  f(p1)+f(p2)-->t(p3+p4+p5)+t~(p6+p7+p8)+H(p9+p10)'
192 '  f(p1)+f(p2)-->t(-->nu(p3)+e^+(p4)+b(p5))+t~(-->nu~(p7)+e^-(p8)+b~(p6))+H(p9+p10)'
193 '  f(p1)+f(p2)-->t(p3+p4+p5)+t~(p6+p7+p8)+Z(p9+p10)'
194 '  f(p1)+f(p2)-->t(p3+p4+p5)+t~(p6+p7+p8)+Z(p9+p10)'
195 '  f(p1)+f(p2)-->t(-->nu(p3)+e^+(p4)+b(p5))+t~(-->nu~(p7)+e^-(p8)+b~(p6))+Z(e(p9),e~(p10))'
196 '  f(p1)+f(p2)-->t(-->nu(p3)+e^+(p4)+b(p5))+t~(-->nu~(p7)+e^-(p8)+b~(p6))+Z(b(p9),b~(p10))'
1000 'nul'
200 '  f(p1)+f(p2)--> H(p3+p4) + f(p5) (for total Xsect)'
201 '  f(p1)+f(p2)--> H (-> tau(p3) tau~(p4)) + f(p5)'
205 '  f(p1)+f(p2)--> A(p3+p4) + f(p5) (for total Xsect)'
206 '  f(p1)+f(p2)--> A (-> tau(p3) tau~(p4)) + f(p5)'
1000 'nul'
302 '  Check of Volume of 2 particle phase space'
303 '  Check of Volume of 3 particle phase space'
304 '  Check of Volume of 4 particle phase space'
305 '  Check of Volume of 5 particle phase space'
306 '  Check of Volume of 6 particle phase space'
308 '  Check of Volume of 8 particle phase space'

